case,spectrum,bin_center_ell,planck_data_bin,model_bin,model_minus_planck,sigma,io_minus_planck_sigma
io_backbone_control,TT,1040.0,0.006128029584364965,0.00635160860484713,0.00022357902048216437,9.334080925843875e-05,2.39529764374687
io_backbone_control,TT,1049.0,0.006172103470166214,0.006360322740345835,0.00018821927017962075,9.319602345511687e-05,2.0196062364213105
io_backbone_control,TT,1058.0,0.006335825533478521,0.0063794117001980555,4.358616671953485e-05,9.294244788775967e-05,0.4689586696938618
io_backbone_control,TT,1067.0,0.006188545700804331,0.006399904176942921,0.00021135847613858953,9.283152461629178e-05,2.2767963470622186
io_backbone_control,TT,1076.0,0.006253015421914868,0.006412832897170344,0.00015981747525547606,9.285907517919677e-05,1.7210754570521503
io_backbone_control,TT,1085.0,0.006493285543503239,0.00640992860850544,-8.335693499779851e-05,9.283569435389674e-05,-0.8978974690493026
io_backbone_control,TT,1094.0,0.006383081212617457,0.006386538668216043,3.4574555985858804e-06,9.246352054297285e-05,0.03739264499429277
io_backbone_control,TT,1103.0,0.006250806529862806,0.006339972012287819,8.916548242501356e-05,9.199075876373261e-05,0.9692873895520805
io_backbone_control,TT,1112.0,0.006159846944374032,0.006267608277875282,0.00010776133350124967,9.097366124378214e-05,1.1845333256675425
io_backbone_control,TT,1121.0,0.006225882385182195,0.006167009564196444,-5.887282098575048e-05,8.956223150879044e-05,-0.6573398182912868
io_backbone_control,TT,1130.0,0.006084126223199069,0.006038113823946468,-4.6012399252601255e-05,8.815720562941371e-05,-0.5219357728513253
io_backbone_control,TT,1139.0,0.005883355975090526,0.005883533243485846,1.7726839531950062e-07,8.621551806878403e-05,0.0020561077551963817
io_backbone_control,TT,1148.0,0.005775745037198066,0.00570616240064452,-6.958263655354631e-05,8.408830455128939e-05,-0.8274948213648975
io_backbone_control,TT,1157.0,0.005724065270291641,0.005508907911076397,-0.00021515735921524403,8.166367528317411e-05,-2.634676414809545
io_backbone_control,TT,1166.0,0.00535307059958484,0.005295204297483118,-5.786630210172141e-05,7.883876788624756e-05,-0.7339828317105838
io_backbone_control,TT,1175.0,0.005198726925405674,0.005069724752364899,-0.00012900217304077487,7.596572280600283e-05,-1.6981629118466188
io_backbone_control,TT,1184.0,0.005089812287678942,0.004837455360694428,-0.0002523569269845139,7.294051536202931e-05,-3.459763421357501
io_backbone_control,TT,1193.0,0.004791409991044551,0.004603383784609998,-0.00018802620643455347,6.968461693894795e-05,-2.698245533864194
io_backbone_control,TT,1202.0,0.00436869641999714,0.0043723403247097345,3.643904712594126e-06,6.7868390366514e-05,0.05369074900577006
io_backbone_control,TT,1211.0,0.004174665772401728,0.004148339682396421,-2.6326090005307154e-05,6.452364176041055e-05,-0.4080068837878261
io_backbone_control,TT,1220.0,0.00409452001941856,0.003934954051902857,-0.0001595659675157025,6.134169669941766e-05,-2.6012643291821
io_backbone_control,TT,1229.0,0.003767882142962888,0.0037357396751832167,-3.2142467779671096e-05,5.841936918797758e-05,-0.5502022398811841
io_backbone_control,TT,1238.0,0.003668229520426132,0.0035541491286964068,-0.00011408039172972539,5.566758618606605e-05,-2.049314503208699
io_backbone_control,TT,1247.0,0.003472356399618555,0.0033922847278434268,-8.007167177512828e-05,5.305475543297415e-05,-1.5092270451851486
io_backbone_control,TT,1256.0,0.003206150854729116,0.0032507284897851287,4.457763505601262e-05,5.067710523061101e-05,0.8796405172149797
io_backbone_control,TT,1265.0,0.003050352617151104,0.0031299018459640137,7.954922881290953e-05,4.859141417395031e-05,1.637104623630312
io_backbone_control,TT,1274.0,0.002978516806446947,0.003030211105344931,5.169429889798375e-05,4.678805656644809e-05,1.1048609985449567
io_backbone_control,TT,1283.0,0.002809231777653098,0.0029513990345452976,0.0001421672568921997,4.547955735750465e-05,3.1259595552932633
io_backbone_control,TT,1292.0,0.002851617783406749,0.0028916510318372675,4.003324843051843e-05,4.416050436155659e-05,0.9065396559503269
io_backbone_control,TT,1301.0,0.002722090312702115,0.0028487589905332655,0.0001266686778311505,4.331061355438197e-05,2.9246567396719496
io_backbone_control,TT,1310.0,0.002606816628190223,0.0028205122284011047,0.00021369560021088172,4.257748444353089e-05,5.018981346685691
io_backbone_control,TT,1319.0,0.00259436632303847,0.00280461358332722,0.00021024726028874997,4.20332250945381e-05,5.00193025436133
io_backbone_control,TT,1328.0,0.002575372216564603,0.002798317568491642,0.00022294535192703916,4.170894536617223e-05,5.3452646661226195
io_backbone_control,TT,1337.0,0.002662106396515388,0.00279863539022879,0.00013652899371340227,4.146418587347263e-05,3.292696837941508
io_backbone_control,TT,1346.0,0.002556390828237403,0.002802569478143752,0.0002461786499063489,4.134350260110006e-05,5.954470096101597
io_backbone_control,TT,1355.0,0.002616486674504355,0.0028071558706752194,0.00019066919617086436,4.131213215822938e-05,4.615331773256903
io_backbone_control,TT,1364.0,0.002621868034484796,0.002809868488493303,0.00018800045400850724,4.128614266167513e-05,4.553596967125322
io_backbone_control,TT,1373.0,0.00258908185870992,0.0028086744000484828,0.00021959254133856274,4.122066973143559e-05,5.327243413784171
io_backbone_control,TT,1382.0,0.002544369535161182,0.0028015927759005243,0.0002572232407393421,4.130550117036864e-05,6.227336152596219
io_backbone_control,TT,1391.0,0.002615606167819817,0.002786653144401299,0.00017104697658148213,4.121533922922531e-05,4.150080522937799
io_backbone_control,TT,1400.0,0.00265940456924215,0.0027623396618415464,0.00010293509259939621,4.0961474095555e-05,2.512973345619082
io_backbone_control,TT,1409.0,0.002600278268934693,0.0027282037728328565,0.00012792550389816373,4.073394170840638e-05,3.140513746838386
io_backbone_control,TT,1418.0,0.002554646611102857,0.0026840666594607956,0.00012942004835793863,4.041634733390793e-05,3.2021708267872
io_backbone_control,TT,1427.0,0.002455150721446611,0.0026297514717624534,0.00017460075031584246,3.994264721624817e-05,4.371286393977839
io_backbone_control,TT,1436.0,0.002446441190257668,0.0025652377733472,0.00011879658308953196,3.937745081189193e-05,3.016868300008277
io_backbone_control,TT,1445.0,0.002401611493478064,0.002491316191901042,8.970469842297778e-05,3.87043723449627e-05,2.3176890100028373
io_backbone_control,TT,1454.0,0.002298264420059975,0.002409217618001137,0.00011095319794116217,3.793716464568526e-05,2.9246571001657946
io_backbone_control,TT,1463.0,0.00223590759829944,0.0023201888244859252,8.428122618648519e-05,3.702404540119112e-05,2.276391606406515
io_backbone_control,TT,1472.0,0.002171996920180041,0.0022254901245872673,5.349320440722633e-05,3.624984319539007e-05,1.475680987608496
io_backbone_control,TT,1481.0,0.002113206230323296,0.0021265582670955165,1.335203677222058e-05,3.532779163416669e-05,0.3779471106058998
io_backbone_control,TT,1490.0,0.002057328473320231,0.0020250287460292205,-3.229972729101036e-05,3.421828357340142e-05,-0.9439318375430615
io_backbone_control,TT,1499.0,0.001960662210946437,0.0019225580587100667,-3.810415223637039e-05,3.320023992190109e-05,-1.1477071348280934
io_backbone_control,TT,1512.0,0.001800858067600522,0.0017762593115837953,-2.4598756016726677e-05,2.514239316606385e-05,-0.9783776689137551
io_backbone_control,TT,1529.0,0.001580323289583437,0.0015943829105705067,1.4059620987069569e-05,2.394252947963105e-05,0.5872237099689361
io_backbone_control,TT,1546.0,0.001437061354673002,0.0014300392313680913,-7.022123304910744e-06,2.283579843388181e-05,-0.30750504849841015
io_backbone_control,TT,1563.0,0.001294550582817756,0.0012894509580586204,-5.099624759135647e-06,2.19400284342692e-05,-0.2324347379226863
io_backbone_control,TT,1580.0,0.00117726211332716,0.0011749685483950073,-2.293564932152707e-06,2.121554985317086e-05,-0.10810772985032545
io_backbone_control,TT,1597.0,0.001056496950428467,0.0010872025960590298,3.070564563056291e-05,2.065057643217638e-05,1.4869146985514352
io_backbone_control,TT,1614.0,0.0009832963012648978,0.0010238454307271569,4.054912946225902e-05,2.025058278257924e-05,2.002368519346604
io_backbone_control,TT,1631.0,0.0009432048756058794,0.0009806956281824774,3.7490752576597986e-05,1.998167673859205e-05,1.8762565858244218
io_backbone_control,TT,1648.0,0.0008996207692025927,0.000952739189087448,5.3118419884855294e-05,1.983051128417951e-05,2.678620794171474
io_backbone_control,TT,1665.0,0.0008867856101143406,0.0009340966298574193,4.731101974307867e-05,1.97973311768766e-05,2.3897675560601934
