ell,Dl_TT_io_backbone_control,Dl_TE_io_backbone_control,Dl_EE_io_backbone_control,Dl_TT_io_conditional_structured,Dl_TE_io_conditional_structured,Dl_EE_io_conditional_structured,Dl_TT_lcdm_planck_reference,Dl_TE_lcdm_planck_reference,Dl_EE_lcdm_planck_reference
1088,1207.888405631717,-61.310746806444705,20.064062285912296,1180.1583493209037,-67.44778075293333,21.683284479707428,1185.5332739620378,-76.19328231070526,23.28027302276664
1089,1209.6736104063884,-60.81293090712478,19.859300448583653,1181.8873438003434,-66.99652450482904,21.457078570171966,1187.9788681226116,-75.86205624139384,23.016663063196567
1090,1211.4085094184475,-60.299874887327164,19.657517787770438,1183.5698341312866,-66.5292347062184,21.233580495795998,1190.3899345212894,-75.51138835835862,22.75488424371799
1091,1213.092139556154,-59.77192772157105,19.458766670239367,1185.2048390838772,-66.04624675229631,21.012850685128843,1192.7648574639488,-75.14155207655894,22.495027423367304
1092,1214.7235321978937,-59.22944136254392,19.263099739672626,1186.7913716686373,-65.54789894380053,20.794949909236788,1195.1020105346022,-74.75282337334365,22.237184050467373
1093,1216.3017132007353,-58.672770748222476,19.070569917213344,1188.3284391243665,-65.034532493988,20.57993928240301,1197.3997565717173,-74.34548079472935,21.981446163909272
1094,1217.8257028889873,-58.10227380899326,18.88123040201094,1189.815042906036,-64.50649153561075,20.367880262827377,1199.656447644535,-73.9198054616789,21.72790639443391
1095,1219.2945160427585,-57.51831147477361,18.69513467176658,1191.250178672689,-63.96412312789214,20.158834653326345,1201.870425029394,-73.47608107637973,21.47665796591381
1096,1220.707161886514,-56.92124768213245,18.512336483278602,1192.6328362753347,-63.40777726350289,19.952864602032808,1204.0400191860465,-73.01459392852236,21.227794696634767
1097,1222.0626440776355,-56.31144938141107,18.33288987298789,1193.9619997448483,-62.83780687553719,19.75003260309598,1206.1635497339807,-72.53563290157868,20.981411000577605
1098,1223.359960694977,-55.68928654384394,18.156849157523343,1195.236647279865,-62.25456784448891,19.550401497381237,1208.2393254287397,-72.0394894790804,20.737601888699785
1099,1224.5981042274252,-55.055132168679506,17.984268934247254,1196.4557512346794,-61.65841900522752,19.35403447316998,1210.2656441382426,-71.52645775089746,20.496462970217216
1100,1225.776061562456,-54.40936229030106,17.81520408180074,1197.6182781071411,-61.049722153974415,19.160995066859506,1212.2407928191042,-70.9968344195164,20.25809045388591
1101,1226.8928139746938,-53.7523559853475,17.64970976064916,1198.7231885265528,-60.4288420552788,18.971347163662887,1214.1630474929543,-70.45091880631873,20.022581149283646
1102,1227.9473371144688,-53.08449537983417,17.48784141362754,1199.7694372415667,-59.79614644899399,18.785154998308805,1216.0306732227596,-69.88901285785947,19.790032468091773
1103,1228.938600996376,-52.406165656273664,17.329654766485966,1200.7559731080812,-59.152006057253395,18.602483155741414,1217.8419240891415,-69.31142115214534,19.560542425376823
1104,1229.8655699878316,-51.717755060796584,17.17520582843503,1201.681739077139,-58.49679459144668,18.423396571820238,1219.5950431666977,-68.71845090491335,19.334209640872242
1105,1230.7272027976342,-51.01965491027243,17.02455089269123,1202.545672182823,-57.83088875919586,18.24796053402,1221.2882625003226,-68.11041197590903,19.111133340260125
1106,1231.5224524645207,-50.31225959943045,16.87774653702239,1203.3467035301546,-57.15466827133141,18.0762406821305,1222.9198030815264,-67.48761687516503,18.891413356452887
1107,1232.2502663457235,-49.59596660798024,16.734849624293066,1204.083758282989,-56.468515848868364,17.90830300895647,1224.487874824755,-66.85038076927927,18.675150130874968
1108,1232.9095861055316,-48.871176507732805,16.595917303009994,1204.7557556519143,-55.77281722998242,17.744213861017442,1225.990676543711,-66.19902148769359,18.46244471474456
1109,1233.4993477038468,-48.138292969721235,16.461007007867472,1205.361608882147,-55.067961176986095,17.584039939247628,1227.4263959276743,-65.53385952897193,18.253398770355286
1110,1234.0184813847425,-47.39772277132156,16.33017646029281,1205.9002252414298,-54.35433948330473,17.427848299695743,1228.7932095178198,-64.85521806707891,18.048114572357914
